iter	Passed	Remaining
557	7083	5610
558	7099	5600
559	7116	5591
560	7130	5580
561	7143	5567
562	7155	5553
563	7165	5539
564	7177	5525
565	7187	5511
566	7199	5497
567	7211	5484
568	7225	5472
569	7237	5459
570	7251	5448
571	7264	5435
572	7278	5423
573	7290	5410
574	7302	5397
575	7315	5385
576	7331	5375
577	7344	5362
578	7357	5349
579	7368	5336
580	7379	5322
581	7391	5308
582	7402	5294
583	7414	5281
584	7426	5268
585	7439	5255
586	7451	5242
587	7463	5229
588	7475	5216
589	7488	5204
590	7501	5191
591	7514	5178
592	7528	5166
593	7544	5156
594	7561	5146
595	7574	5134
596	7588	5122
597	7601	5109
598	7613	5096
599	7626	5084
600	7639	5071
601	7653	5060
602	7666	5047
603	7678	5033
604	7690	5021
605	7702	5007
606	7714	4995
607	7727	4982
608	7740	4969
609	7754	4957
610	7767	4945
611	7779	4932
612	7793	4920
613	7805	4907
614	7828	4900
615	7849	4892
616	7866	4882
617	7879	4870
618	7894	4859
619	7915	4851
620	7931	4840
621	7944	4828
622	7958	4816
623	7971	4803
624	7985	4791
625	7998	4778
626	8010	4765
627	8023	4752
628	8044	4744
629	8060	4733
630	8074	4721
631	8087	4709
632	8100	4696
633	8112	4683
634	8125	4670
635	8139	4658
636	8153	4646
637	8167	4634
638	8180	4621
639	8190	4607
640	8201	4593
641	8212	4579
642	8222	4565
643	8233	4551
644	8244	4537
645	8255	4523
646	8266	4510
647	8281	4498
648	8294	4485
649	8310	4474
650	8322	4461
651	8335	4449
652	8348	4436
653	8361	4423
654	8373	4410
655	8386	4397
656	8399	4385
657	8411	4372
658	8424	4359
659	8435	4345
660	8446	4331
661	8457	4318
662	8469	4304
663	8480	4291
664	8491	4277
665	8504	4264
666	8516	4252
667	8533	4241
668	8550	4230
669	8571	4221
670	8589	4211
671	8605	4200
672	8624	4190
673	8642	4180
674	8660	4170
675	8676	4158
676	8689	4145
677	8705	4134
678	8716	4120
679	8728	4107
680	8739	4093
681	8750	4080
682	8762	4067
683	8776	4054
684	8789	4042
685	8802	4029
686	8814	4016
687	8830	4004
688	8847	3993
689	8863	3982
690	8880	3970
691	8893	3958
692	8907	3946
693	8921	3933
694	8933	3920
695	8945	3907
696	8958	3894
697	8970	3881
698	8983	3868
699	8995	3855
700	9009	3842
701	9025	3831
702	9041	3820
703	9057	3808
704	9071	3795
705	9084	3782
706	9097	3770
707	9111	3757
708	9125	3745
709	9140	3733
710	9153	3720
711	9167	3708
712	9180	3695
713	9192	3682
714	9205	3669
715	9218	3656
716	9231	3643
717	9242	3630
718	9254	3616
719	9267	3604
720	9283	3592
721	9300	3581
722	9314	3568
723	9329	3556
724	9343	3543
725	9357	3531
726	9372	3519
727	9386	3507
728	9400	3494
729	9409	3480
730	9418	3465
731	9426	3451
732	9435	3436
733	9444	3422
734	9455	3409
735	9467	3395
736	9478	3382
737	9488	3368
738	9499	3354
739	9509	3341
740	9520	3327
741	9531	3314
742	9541	3300
743	9553	3287
744	9564	3273
745	9574	3259
746	9585	3246
747	9595	3232
748	9606	3219
749	9618	3206
750	9630	3192
751	9643	3180
752	9657	3167
753	9673	3155
754	9688	3143
755	9701	3131
756	9717	3119
757	9733	3107
758	9746	3094
759	9761	3082
760	9778	3070
761	9792	3058
762	9804	3045
763	9816	3032
764	9828	3019
765	9838	3005
766	9849	2991
767	9861	2979
768	9872	2965
769	9882	2951
770	9891	2937
771	9902	2924
772	9914	2911
773	9925	2898
774	9937	2885
775	9950	2872
776	9962	2859
777	9976	2846
778	9992	2834
779	10009	2823
780	10026	2811
781	10044	2800
782	10062	2788
783	10075	2776
784	10088	2763
785	10101	2750
786	10113	2737
787	10128	2724
788	10140	2711
789	10151	2698
790	10162	2685
791	10173	2671
792	10183	2658
793	10194	2644
794	10205	2631
795	10215	2618
796	10227	2604
797	10238	2591
798	10251	2578
799	10264	2566
800	10278	2553
801	10290	2540
802	10303	2527
803	10315	2514
804	10328	2502
805	10342	2489
806	10355	2476
807	10368	2463
808	10381	2451
809	10396	2438
810	10408	2425
811	10419	2412
812	10430	2399
813	10442	2386
814	10453	2372
815	10464	2359
816	10475	2346
817	10486	2333
818	10499	2320
819	10514	2308
820	10528	2295
821	10541	2282
822	10555	2270
823	10568	2257
824	10581	2244
825	10594	2231
826	10607	2218
827	10620	2206
828	10634	2193
829	10648	2181
830	10659	2167
831	10670	2154
832	10682	2141
833	10692	2128
834	10704	2115
835	10715	2102
836	10726	2088
837	10738	2075
838	10751	2063
839	10768	2051
840	10788	2039
841	10799	2026
842	10811	2013
843	10823	2000
844	10836	1987
845	10849	1975
846	10862	1962
847	10874	1949
848	10887	1936
849	10901	1923
850	10912	1910
851	10922	1897
